distrito,edad,email,id,nombre,partido,sexo,images
"{'5': 5, '3': 5, '4': 5}",67,aleal,859,Antonio Leal Labrín,Partido Por la Democracia,M,https://www.camara.cl/img.aspx?prmid=chs859
"{'8': 36, '3': 36, '6': 36, '2': 0, '5': 36}",66,rleon,860,Roberto León Ramírez,Partido Demócrata Cristiano,M,https://www.camara.cl/img.aspx?prmid=chs860
"{'5': 47, '6': 47}",56,jlobos,861,Juan Lobos Krause,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs861
"{'6': 38, '8': 38, '3': 38, '4': 38, '5': 38}",68,plorenzi,862,Pablo Lorenzini Basso,Partido Demócrata Cristiano,M,https://www.camara.cl/img.aspx?prmid=chs862
"{'5': 41, '8': 41, '6': 41, '3': 41, '2': 0, '4': 41}",67,romar,863,Rosauro Martínez Labbé,Renovación Nacional,M,https://www.camara.cl/img.aspx?prmid=chs863
"{'5': 34, '3': 34, '1': 0, '4': 34, '2': 34}",76,masferre,864,Juan Masferrer Pellizzari,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs864
"{'5': 16, '1': 0, '6': 16, '8': 16, '3': 16, '4': 16, '2': 16}",61,pmelero,865,Patricio Melero Abaroa,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs865
"{'8': 52, '6': 52, '4': 52, '5': 52}",71,fmeza,866,Fernando Meza Moncada,Partido Radical Social Demócrata,M,https://www.camara.cl/img.aspx?prmid=chs866
"{'8': 23, '6': 23, '5': 23}",49,cmonckeberg,867,Cristián Monckeberg Bruner,Renovación Nacional,M,https://www.camara.cl/img.aspx?prmid=chs867
"{'8': 18, '6': 18, '4': 42, '5': 42}",44,nmonckeberg,868,Nicolás Monckeberg Díaz,Renovación Nacional,M,https://www.camara.cl/img.aspx?prmid=chs868
"{'8': 46, '6': 46, '5': 46}",52,mmonsalve,869,Manuel Monsalve Benavides,Partido Socialista,M,https://www.camara.cl/img.aspx?prmid=chs869
"{'5': 26, '1': 0, '6': 26, '3': 26, '4': 26, '2': 26}",71,cmontes,870,Carlos Montes Cisternas,Partido Socialista,M,https://www.camara.cl/img.aspx?prmid=chs870
"{'6': 27, '5': 27, '3': 27, '4': 27, '2': 0}",60,imoreira,871,Iván Moreira Barros,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs871
"{'5': 6, '3': 6, '4': 6}",54,jmulet,872,Jaime Mulet Martínez,Partido Regionalista Independiente,M,https://www.camara.cl/img.aspx?prmid=chs872
"{'6': 9, '5': 9, '3': 9, '1': 0, '4': 9}",69,amunoz,873,Adriana Muñoz D'Albora,Partido Socialista,F,https://www.camara.cl/img.aspx?prmid=chs873
"{'8': 19, '6': 19, '5': 19}",47,cnogueira,874,Claudia Nogueira Fernández,Unión Demócrata Independiente,F,https://www.camara.cl/img.aspx?prmid=chs874
"{'8': 46, '6': 46, '4': 46, '5': 46}",59,inorambuena,875,Iván Norambuena Farías,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs875
"{'8': 11, '6': 11, '5': 11}",51,mnunez,876,Marco Antonio Núñez Lozano,Partido Por la Democracia,M,https://www.camara.cl/img.aspx?prmid=chs876
"{'5': 55, '1': 0, '6': 55, '8': 55, '3': 55, '4': 55, '2': 55}",74,sojeda,877,Sergio Ojeda Uribe,Partido Demócrata Cristiano,M,https://www.camara.cl/img.aspx?prmid=chs877
"{'5': 18, '3': 18, '4': 18}",65,colivare,878,Carlos Olivares Zepeda,Partido Regionalista Independiente,M,https://www.camara.cl/img.aspx?prmid=chs878
"{'5': 44, '1': 0, '6': 44, '8': 44, '3': 44, '4': 44, '2': 44}",75,jmortiz,879,José Miguel Ortiz Novoa,Partido Demócrata Cristiano,M,https://www.camara.cl/img.aspx?prmid=chs879
"{'8': 45, '6': 45, '5': 45}",56,cpacheco,880,Clemira Pacheco Rivas,Partido Socialista,F,https://www.camara.cl/img.aspx?prmid=chs880
"{'5': 39, '3': 39, '4': 39}",65,opalma,881,Osvaldo Palma Flores,Renovación Nacional,M,https://www.camara.cl/img.aspx?prmid=chs881
"{'5': 1, '4': 1}",59,iparedes,882,Iván Paredes Fierro,Partido Socialista,M,https://www.camara.cl/img.aspx?prmid=chs882
"{'8': 31, '6': 31, '5': 31}",-1,dpascal,883,Denise Pascal Allende,Partido Socialista,F,https://www.camara.cl/img.aspx?prmid=chs883
"{'5': 28, '3': 28, '4': 28, '2': 0}",53,dpaya,884,Darío Paya Mira,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs884
"{'6': 47, '8': 47, '3': 47, '4': 47, '5': 47}",76,jperez,885,José Pérez Arriagada,Partido Radical Social Demócrata,M,https://www.camara.cl/img.aspx?prmid=chs885
"{'5': 49, '4': 49}",50,jquintana,886,Jaime Quintana Leal,Partido Por la Democracia,M,https://www.camara.cl/img.aspx?prmid=chs886
"{'6': 56, '5': 56, '3': 56, '1': 0, '4': 56}",63,crecondo,887,Carlos Recondo Lavanderos,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs887
"{'8': 6, '6': 6, '4': 6, '5': 6}",61,arobles,888,Alberto Robles Pantoja,Partido Radical Social Demócrata,M,https://www.camara.cl/img.aspx?prmid=chs888
"{'6': 4, '5': 4, '3': 4, '4': 4}",58,mrojas,889,Manuel Rojas Molina,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs889
"{'5': 2, '4': 2}",47,frossi,890,Fulvio Rossi Ciocca,Partido Socialista,M,https://www.camara.cl/img.aspx?prmid=chs890
"{'8': 17, '6': 17, '5': 17}",40,krubilar,891,Karla Rubilar Barahona,Renovación Nacional,F,https://www.camara.cl/img.aspx?prmid=chs891
"{'6': 17, '5': 17, '3': 17, '4': 17, '2': 0}",74,masaa,892,María Antonieta Saa Díaz,Partido Por la Democracia,F,https://www.camara.cl/img.aspx?prmid=chs892
"{'8': 42, '6': 42, '5': 42}",53,jsabag,893,Jorge Sabag Villalobos,Partido Demócrata Cristiano,M,https://www.camara.cl/img.aspx?prmid=chs893
"{'5': 50, '4': 50}",59,esaffirio,894,Eduardo Saffirio Suárez,Partido Demócrata Cristiano,M,https://www.camara.cl/img.aspx?prmid=chs894
"{'5': 25, '6': 25, '4': 25}",51,fsalaberry,895,Felipe Salaberry Soto,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs895
{'5': 20},62,rsepulveda,896,Roberto Sepúlveda Hermosilla,Renovación Nacional,M,https://www.camara.cl/img.aspx?prmid=chs896
"{'8': 34, '6': 34, '4': 34, '5': 34}",51,asepulveda,897,Alejandra Sepúlveda Orbenes,Independientes,F,https://www.camara.cl/img.aspx?prmid=chs897
"{'8': 16, '6': 16, '5': 16}",41,gsilber,898,Gabriel Silber Romo,Partido Demócrata Cristiano,M,https://www.camara.cl/img.aspx?prmid=chs898
"{'5': 13, '3': 14, '4': 13}",85,lsoto,899,Laura Soto González,Partido Por la Democracia,F,https://www.camara.cl/img.aspx?prmid=chs899
{'5': 33},56,asule,900,Alejandro Sule Fernández,Partido Radical Social Demócrata,M,https://www.camara.cl/img.aspx?prmid=chs900
{'5': 43},53,rsunico,901,Raúl Sunico Galdames,Partido Socialista,M,https://www.camara.cl/img.aspx?prmid=chs901
"{'8': 39, '6': 39, '4': 39, '5': 39}",64,jtarud,902,Jorge Tarud Daccarett,Partido Por la Democracia,M,https://www.camara.cl/img.aspx?prmid=chs902
"{'5': 22, '4': 22}",52,ctoha,903,Carolina Tohá Morales,Partido Por la Democracia,F,https://www.camara.cl/img.aspx?prmid=chs903
"{'5': 51, '3': 51, '4': 51, '2': 0}",72,etuma,904,Eugenio Tuma Zedan,Partido Por la Democracia,M,https://www.camara.cl/img.aspx?prmid=chs904
"{'8': 57, '6': 57, '5': 57}",53,mturres,905,Marisol Turres Figueroa,Unión Demócrata Independiente,F,https://www.camara.cl/img.aspx?prmid=chs905
"{'5': 43, '1': 0, '6': 43, '8': 43, '3': 43, '4': 43, '2': 43}",59,julloa,906,Jorge Ulloa Aguillón,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs906
"{'5': 31, '6': 31, '4': 31}",52,guriarte,907,Gonzalo Uriarte Herrera,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs907
"{'8': 40, '6': 40, '4': 40, '5': 40}",60,iurrutia,908,Ignacio Urrutia Bonilla,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs908
{'5': 1},44,xvalcarce,909,Ximena Valcarce Becerra,Renovación Nacional,F,https://www.camara.cl/img.aspx?prmid=chs909
"{'5': 32, '4': 32}",53,evalenzuela,910,Esteban Valenzuela Van Treek,Independientes,M,https://www.camara.cl/img.aspx?prmid=chs910
"{'8': 57, '6': 57, '5': 57}",53,pvallespin,911,Patricio Vallespín López,Partido Demócrata Cristiano,M,https://www.camara.cl/img.aspx?prmid=chs911
